sample_rank,repo_id,repo_name,llm_native_manual,collaboration_niche,year,window_start,window_end,issues_opened,issues_closed_during_window,issue_flow_balance,prs_opened,prs_closed_during_window,prs_merged_during_window,prs_closed_unmerged_during_window,pr_flow_balance,currently_open_issues_from_vintage,currently_open_prs_from_vintage,graphql_cost,graphql_remaining,collected_at,quality_flag
44,46398090,datahub-project/datahub,mixed,model_infra,2026,2026-01-01,2026-08-31,287,131,156,3445,2919,2511,408,526,189,562,1,4874,2026-09-02T07:13:39.518187+00:00,search_count_invariants_ok
45,643445235,lobehub/lobehub,llm_native,agent_application,2024,2024-01-01,2024-08-31,1436,1212,224,968,920,751,169,48,0,0,1,4873,2026-09-02T07:13:41.983827+00:00,search_count_invariants_ok
45,643445235,lobehub/lobehub,llm_native,agent_application,2025,2025-01-01,2025-08-31,1789,1342,447,1448,1429,1073,356,19,0,0,1,4873,2026-09-02T07:13:41.983827+00:00,search_count_invariants_ok
45,643445235,lobehub/lobehub,llm_native,agent_application,2026,2026-01-01,2026-08-31,1471,2143,-672,6097,5552,4604,948,545,324,514,1,4873,2026-09-02T07:13:41.983827+00:00,search_count_invariants_ok
46,575865240,AstrBotDevs/AstrBot,llm_native,agent_application,2024,2024-01-01,2024-08-31,33,33,0,11,11,9,2,0,0,0,1,4871,2026-09-02T07:13:43.867278+00:00,search_count_invariants_ok
46,575865240,AstrBotDevs/AstrBot,llm_native,agent_application,2025,2025-01-01,2025-08-31,1911,1606,305,416,388,304,84,28,39,0,1,4871,2026-09-02T07:13:43.867278+00:00,search_count_invariants_ok
46,575865240,AstrBotDevs/AstrBot,llm_native,agent_application,2026,2026-01-01,2026-08-31,3377,2622,755,2038,1612,1142,470,426,980,389,1,4871,2026-09-02T07:13:43.867278+00:00,search_count_invariants_ok
47,1147094660,HKUDS/nanobot,llm_native,agent_application,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4870,2026-09-02T07:13:45.574433+00:00,search_count_invariants_ok
47,1147094660,HKUDS/nanobot,llm_native,agent_application,2025,2025-01-01,2025-08-31,0,0,0,0,0,0,0,0,0,0,1,4870,2026-09-02T07:13:45.574433+00:00,search_count_invariants_ok
47,1147094660,HKUDS/nanobot,llm_native,agent_application,2026,2026-01-01,2026-08-31,1477,1270,207,3803,3057,1606,1451,746,205,546,1,4870,2026-09-02T07:13:45.574433+00:00,search_count_invariants_ok
48,790916393,NVIDIA/Model-Optimizer,mixed,model_infra,2024,2024-01-01,2024-08-31,61,34,27,2,2,0,2,0,0,0,1,4869,2026-09-02T07:13:47.715693+00:00,search_count_invariants_ok
48,790916393,NVIDIA/Model-Optimizer,mixed,model_infra,2025,2025-01-01,2025-08-31,110,59,51,50,43,17,26,7,8,0,1,4869,2026-09-02T07:13:47.715693+00:00,search_count_invariants_ok
48,790916393,NVIDIA/Model-Optimizer,mixed,model_infra,2026,2026-01-01,2026-08-31,138,103,35,1407,1156,913,243,251,70,249,1,4869,2026-09-02T07:13:47.715693+00:00,search_count_invariants_ok
49,824874689,cline/cline,llm_native,agent_application,2024,2024-01-01,2024-08-31,182,102,80,21,14,1,13,7,0,0,1,4867,2026-09-02T07:13:49.790865+00:00,search_count_invariants_ok
49,824874689,cline/cline,llm_native,agent_application,2025,2025-01-01,2025-08-31,1645,1361,284,2384,2323,1713,610,61,6,0,1,4867,2026-09-02T07:13:49.790865+00:00,search_count_invariants_ok
49,824874689,cline/cline,llm_native,agent_application,2026,2026-01-01,2026-08-31,1390,1329,61,3520,2818,1854,964,702,669,445,1,4867,2026-09-02T07:13:49.790865+00:00,search_count_invariants_ok
50,1043426082,OpenHands/software-agent-sdk,llm_native,agent_framework,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4866,2026-09-02T07:13:51.918271+00:00,search_count_invariants_ok
50,1043426082,OpenHands/software-agent-sdk,llm_native,agent_framework,2025,2025-01-01,2025-08-31,30,8,22,36,31,29,2,5,5,0,1,4866,2026-09-02T07:13:51.918271+00:00,search_count_invariants_ok
50,1043426082,OpenHands/software-agent-sdk,llm_native,agent_framework,2026,2026-01-01,2026-08-31,1073,1027,46,2142,1892,1481,411,250,197,238,1,4866,2026-09-02T07:13:51.918271+00:00,search_count_invariants_ok
51,1165324947,agentscope-ai/QwenPaw,llm_native,agent_application,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4863,2026-09-02T07:13:53.844120+00:00,search_count_invariants_ok
51,1165324947,agentscope-ai/QwenPaw,llm_native,agent_application,2025,2025-01-01,2025-08-31,0,0,0,0,0,0,0,0,0,0,1,4863,2026-09-02T07:13:53.844120+00:00,search_count_invariants_ok
51,1165324947,agentscope-ai/QwenPaw,llm_native,agent_application,2026,2026-01-01,2026-08-31,3661,3063,598,3575,3111,2339,772,464,590,292,1,4863,2026-09-02T07:13:53.844120+00:00,search_count_invariants_ok
52,949546994,NVIDIA-NeMo/RL,llm_native,model_infra,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4860,2026-09-02T07:13:55.928314+00:00,search_count_invariants_ok
52,949546994,NVIDIA-NeMo/RL,llm_native,model_infra,2025,2025-01-01,2025-08-31,390,206,184,633,572,470,102,61,114,13,1,4860,2026-09-02T07:13:55.928314+00:00,search_count_invariants_ok
52,949546994,NVIDIA-NeMo/RL,llm_native,model_infra,2026,2026-01-01,2026-08-31,414,211,203,1808,1251,956,295,557,273,472,1,4860,2026-09-02T07:13:55.928314+00:00,search_count_invariants_ok
53,818331198,pydantic/pydantic-ai,llm_native,agent_framework,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4859,2026-09-02T07:13:58.194875+00:00,search_count_invariants_ok
53,818331198,pydantic/pydantic-ai,llm_native,agent_framework,2025,2025-01-01,2025-08-31,1036,837,199,1123,1082,837,245,41,80,0,1,4859,2026-09-02T07:13:58.194875+00:00,search_count_invariants_ok
53,818331198,pydantic/pydantic-ai,llm_native,agent_framework,2026,2026-01-01,2026-08-31,1382,1147,235,2637,2366,1354,1012,271,396,209,1,4859,2026-09-02T07:13:58.194875+00:00,search_count_invariants_ok
54,968197216,google-gemini/gemini-cli,llm_native,agent_application,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4857,2026-09-02T07:14:00.257316+00:00,search_count_invariants_ok
54,968197216,google-gemini/gemini-cli,llm_native,agent_application,2025,2025-01-01,2025-08-31,3895,2480,1415,3235,2969,2091,878,266,24,0,1,4857,2026-09-02T07:14:00.257316+00:00,search_count_invariants_ok
54,968197216,google-gemini/gemini-cli,llm_native,agent_application,2026,2026-01-01,2026-08-31,6212,7539,-1327,6559,6653,2776,3877,-94,524,260,1,4857,2026-09-02T07:14:00.257316+00:00,search_count_invariants_ok
55,158256479,apache/iceberg,traditional,model_infra,2024,2024-01-01,2024-08-31,492,731,-239,1165,1285,828,457,-120,14,8,1,4856,2026-09-02T07:14:02.255036+00:00,search_count_invariants_ok
55,158256479,apache/iceberg,traditional,model_infra,2025,2025-01-01,2025-08-31,581,616,-35,1483,1464,1071,393,19,35,16,1,4856,2026-09-02T07:14:02.255036+00:00,search_count_invariants_ok
55,158256479,apache/iceberg,traditional,model_infra,2026,2026-01-01,2026-08-31,604,560,44,2352,1872,1309,563,480,346,412,1,4856,2026-09-02T07:14:02.255036+00:00,search_count_invariants_ok
56,730534580,infiniflow/ragflow,llm_native,agent_runtime_infra,2024,2024-01-01,2024-08-31,1009,624,385,1108,1106,1035,71,2,5,0,1,4855,2026-09-02T07:14:04.105363+00:00,search_count_invariants_ok
56,730534580,infiniflow/ragflow,llm_native,agent_runtime_infra,2025,2025-01-01,2025-08-31,3095,1033,2062,2071,2060,1825,235,11,409,0,1,4855,2026-09-02T07:14:04.105363+00:00,search_count_invariants_ok
56,730534580,infiniflow/ragflow,llm_native,agent_runtime_infra,2026,2026-01-01,2026-08-31,1465,3222,-1757,5081,4445,3939,506,636,613,434,1,4855,2026-09-02T07:14:04.105363+00:00,search_count_invariants_ok
57,86031674,wandb/wandb,traditional,model_infra,2024,2024-01-01,2024-08-31,363,318,45,1100,1061,877,184,39,71,2,1,4853,2026-09-02T07:14:06.190007+00:00,search_count_invariants_ok
57,86031674,wandb/wandb,traditional,model_infra,2025,2025-01-01,2025-08-31,227,165,62,1036,1004,847,157,32,90,14,1,4853,2026-09-02T07:14:06.190007+00:00,search_count_invariants_ok
57,86031674,wandb/wandb,traditional,model_infra,2026,2026-01-01,2026-08-31,120,112,8,1323,1131,941,190,192,43,179,1,4853,2026-09-02T07:14:06.190007+00:00,search_count_invariants_ok
58,488641606,agno-agi/agno,mixed,agent_framework,2024,2024-01-01,2024-08-31,164,103,61,197,165,137,28,32,0,0,1,4852,2026-09-02T07:14:08.243467+00:00,search_count_invariants_ok
58,488641606,agno-agi/agno,mixed,agent_framework,2025,2025-01-01,2025-08-31,959,851,108,1624,1575,1349,226,49,12,6,1,4852,2026-09-02T07:14:08.243467+00:00,search_count_invariants_ok
58,488641606,agno-agi/agno,mixed,agent_framework,2026,2026-01-01,2026-08-31,1021,598,423,2818,2187,1228,959,631,534,598,1,4852,2026-09-02T07:14:08.243467+00:00,search_count_invariants_ok
59,946087422,Kilo-Org/kilocode,llm_native,agent_application,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4851,2026-09-02T07:14:10.687320+00:00,search_count_invariants_ok
59,946087422,Kilo-Org/kilocode,llm_native,agent_application,2025,2025-01-01,2025-08-31,692,452,240,955,908,809,99,47,0,0,1,4851,2026-09-02T07:14:10.687320+00:00,search_count_invariants_ok
59,946087422,Kilo-Org/kilocode,llm_native,agent_application,2026,2026-01-01,2026-08-31,3122,3311,-189,5563,5322,3481,1841,241,426,112,1,4851,2026-09-02T07:14:10.687320+00:00,search_count_invariants_ok
60,1063641074,a2ui-project/a2ui,llm_native,agent_runtime_infra,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4849,2026-09-02T07:14:13.030592+00:00,search_count_invariants_ok
60,1063641074,a2ui-project/a2ui,llm_native,agent_runtime_infra,2025,2025-01-01,2025-08-31,0,0,0,0,0,0,0,0,0,0,1,4849,2026-09-02T07:14:13.030592+00:00,search_count_invariants_ok
60,1063641074,a2ui-project/a2ui,llm_native,agent_runtime_infra,2026,2026-01-01,2026-08-31,632,441,191,1339,1232,903,329,107,240,84,1,4849,2026-09-02T07:14:13.030592+00:00,search_count_invariants_ok
61,1266212515,omnigent-ai/omnigent,llm_native,agent_framework,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4848,2026-09-02T07:14:15.110699+00:00,search_count_invariants_ok
61,1266212515,omnigent-ai/omnigent,llm_native,agent_framework,2025,2025-01-01,2025-08-31,0,0,0,0,0,0,0,0,0,0,1,4848,2026-09-02T07:14:15.110699+00:00,search_count_invariants_ok
61,1266212515,omnigent-ai/omnigent,llm_native,agent_framework,2026,2026-01-01,2026-08-31,1267,771,496,4665,3509,3070,439,1156,461,642,1,4848,2026-09-02T07:14:15.110699+00:00,search_count_invariants_ok
62,573661753,activepieces/activepieces,mixed,agent_framework,2024,2024-01-01,2024-08-31,426,332,94,1498,1495,1380,115,3,14,0,1,4846,2026-09-02T07:14:17.108212+00:00,search_count_invariants_ok
62,573661753,activepieces/activepieces,mixed,agent_framework,2025,2025-01-01,2025-08-31,725,582,143,1817,1776,1446,330,41,84,0,1,4846,2026-09-02T07:14:17.108212+00:00,search_count_invariants_ok
62,573661753,activepieces/activepieces,mixed,agent_framework,2026,2026-01-01,2026-08-31,513,385,128,3672,3381,2392,989,291,244,87,1,4846,2026-09-02T07:14:17.108212+00:00,search_count_invariants_ok
63,176982014,NVIDIA/Megatron-LM,llm_native,model_infra,2024,2024-01-01,2024-08-31,273,322,-49,117,67,4,63,50,3,0,1,4845,2026-09-02T07:14:19.339059+00:00,search_count_invariants_ok
63,176982014,NVIDIA/Megatron-LM,llm_native,model_infra,2025,2025-01-01,2025-08-31,281,153,128,145,168,2,166,-23,82,18,1,4845,2026-09-02T07:14:19.339059+00:00,search_count_invariants_ok
63,176982014,NVIDIA/Megatron-LM,llm_native,model_infra,2026,2026-01-01,2026-08-31,444,394,50,3753,2950,2200,750,803,224,776,1,4845,2026-09-02T07:14:19.339059+00:00,search_count_invariants_ok
64,1157102282,diegosouzapw/OmniRoute,llm_native,model_infra,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4843,2026-09-02T07:14:21.417807+00:00,search_count_invariants_ok
64,1157102282,diegosouzapw/OmniRoute,llm_native,model_infra,2025,2025-01-01,2025-08-31,0,0,0,0,0,0,0,0,0,0,1,4843,2026-09-02T07:14:21.417807+00:00,search_count_invariants_ok
64,1157102282,diegosouzapw/OmniRoute,llm_native,model_infra,2026,2026-01-01,2026-08-31,3988,3854,134,7759,7386,6359,1027,373,79,17,1,4843,2026-09-02T07:14:21.417807+00:00,search_count_invariants_ok
65,136202695,mlflow/mlflow,mixed,model_infra,2024,2024-01-01,2024-08-31,471,265,206,1719,1651,1378,273,68,181,44,1,4842,2026-09-02T07:14:23.590969+00:00,search_count_invariants_ok
65,136202695,mlflow/mlflow,mixed,model_infra,2025,2025-01-01,2025-08-31,588,430,158,2653,2520,2175,345,133,167,75,1,4842,2026-09-02T07:14:23.590969+00:00,search_count_invariants_ok
65,136202695,mlflow/mlflow,mixed,model_infra,2026,2026-01-01,2026-08-31,813,954,-141,4837,4707,3413,1294,130,251,263,1,4842,2026-09-02T07:14:23.590969+00:00,search_count_invariants_ok
66,655515393,CopilotKit/CopilotKit,llm_native,agent_framework,2024,2024-01-01,2024-08-31,88,52,36,326,309,285,24,17,1,0,1,4841,2026-09-02T07:14:25.710292+00:00,search_count_invariants_ok
66,655515393,CopilotKit/CopilotKit,llm_native,agent_framework,2025,2025-01-01,2025-08-31,333,163,170,857,811,653,158,46,13,0,1,4841,2026-09-02T07:14:25.710292+00:00,search_count_invariants_ok
66,655515393,CopilotKit/CopilotKit,llm_native,agent_framework,2026,2026-01-01,2026-08-31,452,723,-271,3348,2928,2423,505,420,86,176,1,4841,2026-09-02T07:14:25.710292+00:00,search_count_invariants_ok
67,642497346,langfuse/langfuse,llm_native,agent_runtime_infra,2024,2024-01-01,2024-08-31,359,296,63,1545,1536,1211,325,9,6,3,1,4839,2026-09-02T07:14:27.738399+00:00,search_count_invariants_ok
67,642497346,langfuse/langfuse,llm_native,agent_runtime_infra,2025,2025-01-01,2025-08-31,896,807,89,1831,1757,1500,257,74,44,47,1,4839,2026-09-02T07:14:27.738399+00:00,search_count_invariants_ok
67,642497346,langfuse/langfuse,llm_native,agent_runtime_infra,2026,2026-01-01,2026-08-31,757,770,-13,4015,3418,2874,544,597,170,471,1,4839,2026-09-02T07:14:27.738399+00:00,search_count_invariants_ok
68,1133707766,multica-ai/multica,llm_native,agent_framework,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4837,2026-09-02T07:14:30.151393+00:00,search_count_invariants_ok
68,1133707766,multica-ai/multica,llm_native,agent_framework,2025,2025-01-01,2025-08-31,0,0,0,0,0,0,0,0,0,0,1,4837,2026-09-02T07:14:30.151393+00:00,search_count_invariants_ok
68,1133707766,multica-ai/multica,llm_native,agent_framework,2026,2026-01-01,2026-08-31,2401,1575,826,5334,4215,3385,830,1119,818,579,1,4837,2026-09-02T07:14:30.151393+00:00,search_count_invariants_ok
69,1007406267,coze-dev/coze-loop,llm_native,agent_runtime_infra,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4836,2026-09-02T07:14:32.003543+00:00,search_count_invariants_ok
69,1007406267,coze-dev/coze-loop,llm_native,agent_runtime_infra,2025,2025-01-01,2025-08-31,73,47,26,58,49,44,5,9,23,3,1,4836,2026-09-02T07:14:32.003543+00:00,search_count_invariants_ok
69,1007406267,coze-dev/coze-loop,llm_native,agent_runtime_infra,2026,2026-01-01,2026-08-31,11,3,8,260,243,223,20,17,8,23,1,4836,2026-09-02T07:14:32.003543+00:00,search_count_invariants_ok
70,979886407,IBM/mcp-context-forge,llm_native,agent_runtime_infra,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4834,2026-09-02T07:14:33.872255+00:00,search_count_invariants_ok
70,979886407,IBM/mcp-context-forge,llm_native,agent_runtime_infra,2025,2025-01-01,2025-08-31,349,209,140,482,457,425,32,25,6,0,1,4834,2026-09-02T07:14:33.872255+00:00,search_count_invariants_ok
70,979886407,IBM/mcp-context-forge,llm_native,agent_runtime_infra,2026,2026-01-01,2026-08-31,2408,2038,370,2218,1891,1477,414,327,624,156,1,4834,2026-09-02T07:14:33.872255+00:00,search_count_invariants_ok
71,1166129534,NVIDIA/OpenShell,llm_native,agent_runtime_infra,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4833,2026-09-02T07:14:35.715827+00:00,search_count_invariants_ok
71,1166129534,NVIDIA/OpenShell,llm_native,agent_runtime_infra,2025,2025-01-01,2025-08-31,0,0,0,0,0,0,0,0,0,0,1,4833,2026-09-02T07:14:35.715827+00:00,search_count_invariants_ok
71,1166129534,NVIDIA/OpenShell,llm_native,agent_runtime_infra,2026,2026-01-01,2026-08-31,1074,670,404,1718,1515,1157,358,203,393,121,1,4833,2026-09-02T07:14:35.715827+00:00,search_count_invariants_ok
72,1031912724,farion1231/cc-switch,llm_native,agent_application,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4832,2026-09-02T07:14:37.645460+00:00,search_count_invariants_ok
72,1031912724,farion1231/cc-switch,llm_native,agent_application,2025,2025-01-01,2025-08-31,1,0,1,1,1,1,0,0,0,0,1,4832,2026-09-02T07:14:37.645460+00:00,search_count_invariants_ok
72,1031912724,farion1231/cc-switch,llm_native,agent_application,2026,2026-01-01,2026-08-31,4521,2907,1614,1727,737,383,354,990,1676,872,1,4832,2026-09-02T07:14:37.645460+00:00,search_count_invariants_ok
73,589831718,Comfy-Org/ComfyUI,traditional,agent_framework,2024,2024-01-01,2024-08-31,1529,798,731,429,375,182,193,54,607,18,1,4830,2026-09-02T07:14:39.906896+00:00,search_count_invariants_ok
73,589831718,Comfy-Org/ComfyUI,traditional,agent_framework,2025,2025-01-01,2025-08-31,2157,1364,793,901,784,641,143,117,847,58,1,4830,2026-09-02T07:14:39.906896+00:00,search_count_invariants_ok
73,589831718,Comfy-Org/ComfyUI,traditional,agent_framework,2026,2026-01-01,2026-08-31,1885,852,1033,2282,1853,1392,461,429,1181,442,1,4830,2026-09-02T07:14:39.906896+00:00,search_count_invariants_ok
74,1183888342,stablyai/orca,llm_native,agent_framework,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4829,2026-09-02T07:14:42.053937+00:00,search_count_invariants_ok
74,1183888342,stablyai/orca,llm_native,agent_framework,2025,2025-01-01,2025-08-31,0,0,0,0,0,0,0,0,0,0,1,4829,2026-09-02T07:14:42.053937+00:00,search_count_invariants_ok
74,1183888342,stablyai/orca,llm_native,agent_framework,2026,2026-01-01,2026-08-31,4690,2341,2349,12900,9304,8567,737,3596,2327,2515,1,4829,2026-09-02T07:14:42.053937+00:00,search_count_invariants_ok
75,725205304,unslothai/unsloth,llm_native,model_infra,2024,2024-01-01,2024-08-31,716,243,473,200,185,171,14,15,55,0,1,4828,2026-09-02T07:14:43.756518+00:00,search_count_invariants_ok
75,725205304,unslothai/unsloth,llm_native,model_infra,2025,2025-01-01,2025-08-31,1308,1202,106,351,301,238,63,50,239,0,1,4828,2026-09-02T07:14:43.756518+00:00,search_count_invariants_ok
75,725205304,unslothai/unsloth,llm_native,model_infra,2026,2026-01-01,2026-08-31,1542,1394,148,4607,3987,3353,634,620,520,388,1,4828,2026-09-02T07:14:43.756518+00:00,search_count_invariants_ok
76,552661142,langchain-ai/langchain,llm_native,agent_framework,2024,2024-01-01,2024-08-31,2101,3105,-1004,5750,5995,4638,1357,-245,0,0,1,4826,2026-09-02T07:14:45.667721+00:00,search_count_invariants_ok
76,552661142,langchain-ai/langchain,llm_native,agent_framework,2025,2025-01-01,2025-08-31,627,828,-201,2446,2349,1803,546,97,23,0,1,4826,2026-09-02T07:14:45.667721+00:00,search_count_invariants_ok
76,552661142,langchain-ai/langchain,llm_native,agent_framework,2026,2026-01-01,2026-08-31,1181,1032,149,3974,3942,1701,2241,32,280,75,1,4826,2026-09-02T07:14:45.667721+00:00,search_count_invariants_ok
77,153097643,openvinotoolkit/openvino,traditional,model_infra,2024,2024-01-01,2024-08-31,400,300,100,3956,3925,3194,731,31,21,1,1,4825,2026-09-02T07:14:47.616763+00:00,search_count_invariants_ok
77,153097643,openvinotoolkit/openvino,traditional,model_infra,2025,2025-01-01,2025-08-31,410,307,103,3162,3075,2358,717,87,83,3,1,4825,2026-09-02T07:14:47.616763+00:00,search_count_invariants_ok
77,153097643,openvinotoolkit/openvino,traditional,model_infra,2026,2026-01-01,2026-08-31,498,486,12,3646,3335,2371,964,311,193,401,1,4825,2026-09-02T07:14:47.616763+00:00,search_count_invariants_ok
78,974445592,microsoft/agent-framework,llm_native,agent_framework,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4824,2026-09-02T07:14:49.460741+00:00,search_count_invariants_ok
78,974445592,microsoft/agent-framework,llm_native,agent_framework,2025,2025-01-01,2025-08-31,269,123,146,299,262,235,27,37,13,0,1,4824,2026-09-02T07:14:49.460741+00:00,search_count_invariants_ok
78,974445592,microsoft/agent-framework,llm_native,agent_framework,2026,2026-01-01,2026-08-31,1925,1944,-19,2742,2596,1864,732,146,381,129,1,4824,2026-09-02T07:14:49.460741+00:00,search_count_invariants_ok
79,638951438,comet-ml/opik,llm_native,agent_runtime_infra,2024,2024-01-01,2024-08-31,4,4,0,29,29,26,3,0,0,0,1,4822,2026-09-02T07:14:51.796428+00:00,search_count_invariants_ok
79,638951438,comet-ml/opik,llm_native,agent_runtime_infra,2025,2025-01-01,2025-08-31,297,223,74,1862,1852,1641,211,10,15,0,1,4822,2026-09-02T07:14:51.796428+00:00,search_count_invariants_ok
79,638951438,comet-ml/opik,llm_native,agent_runtime_infra,2026,2026-01-01,2026-08-31,177,143,34,3288,3168,2583,585,120,82,110,1,4822,2026-09-02T07:14:51.796428+00:00,search_count_invariants_ok
80,678526156,marimo-team/marimo,mixed,agent_application,2024,2024-01-01,2024-08-31,501,419,82,1103,1102,1064,38,1,12,0,1,4821,2026-09-02T07:14:53.440074+00:00,search_count_invariants_ok
80,678526156,marimo-team/marimo,mixed,agent_application,2025,2025-01-01,2025-08-31,928,691,237,1821,1785,1640,145,36,173,3,1,4821,2026-09-02T07:14:53.440074+00:00,search_count_invariants_ok
80,678526156,marimo-team/marimo,mixed,agent_application,2026,2026-01-01,2026-08-31,793,751,42,2148,2054,1726,328,94,234,63,1,4821,2026-09-02T07:14:53.440074+00:00,search_count_invariants_ok
81,55072677,weaviate/weaviate,traditional,agent_runtime_infra,2024,2024-01-01,2024-08-31,268,129,139,1464,1410,1142,268,54,93,1,1,4820,2026-09-02T07:14:55.285649+00:00,search_count_invariants_ok
81,55072677,weaviate/weaviate,traditional,agent_runtime_infra,2025,2025-01-01,2025-08-31,154,202,-48,2089,2007,1673,334,82,76,10,1,4820,2026-09-02T07:14:55.285649+00:00,search_count_invariants_ok
81,55072677,weaviate/weaviate,traditional,agent_runtime_infra,2026,2026-01-01,2026-08-31,208,148,60,2480,2311,1864,447,169,147,213,1,4820,2026-09-02T07:14:55.285649+00:00,search_count_invariants_ok
82,599320067,langflow-ai/langflow,llm_native,agent_framework,2024,2024-01-01,2024-08-31,765,717,48,1449,1416,1236,180,33,2,4,1,4818,2026-09-02T07:14:56.966833+00:00,search_count_invariants_ok
82,599320067,langflow-ai/langflow,llm_native,agent_framework,2025,2025-01-01,2025-08-31,1031,768,263,2820,2487,1770,717,333,67,199,1,4818,2026-09-02T07:14:56.966833+00:00,search_count_invariants_ok
82,599320067,langflow-ai/langflow,llm_native,agent_framework,2026,2026-01-01,2026-08-31,401,525,-124,3197,2907,2024,883,290,100,429,1,4818,2026-09-02T07:14:56.966833+00:00,search_count_invariants_ok
83,1216785679,esengine/DeepSeek-Reasonix,llm_native,agent_application,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4817,2026-09-02T07:14:58.869267+00:00,search_count_invariants_ok
83,1216785679,esengine/DeepSeek-Reasonix,llm_native,agent_application,2025,2025-01-01,2025-08-31,0,0,0,0,0,0,0,0,0,0,1,4817,2026-09-02T07:14:58.869267+00:00,search_count_invariants_ok
83,1216785679,esengine/DeepSeek-Reasonix,llm_native,agent_application,2026,2026-01-01,2026-08-31,4378,3149,1229,4850,4227,3481,746,623,1222,428,1,4817,2026-09-02T07:14:58.869267+00:00,search_count_invariants_ok
84,564072810,Arize-ai/phoenix,mixed,agent_runtime_infra,2024,2024-01-01,2024-08-31,1141,1106,35,1176,1178,1084,94,-2,0,0,1,4815,2026-09-02T07:15:01.058591+00:00,search_count_invariants_ok
84,564072810,Arize-ai/phoenix,mixed,agent_runtime_infra,2025,2025-01-01,2025-08-31,1451,1224,227,1954,1917,1726,191,37,37,0,1,4815,2026-09-02T07:15:01.058591+00:00,search_count_invariants_ok
84,564072810,Arize-ai/phoenix,mixed,agent_runtime_infra,2026,2026-01-01,2026-08-31,1665,1137,528,3227,3004,2647,357,223,708,90,1,4815,2026-09-02T07:15:01.058591+00:00,search_count_invariants_ok
85,76474200,apache/hudi,traditional,model_infra,2024,2024-01-01,2024-08-31,357,209,148,1077,1080,815,265,-3,125,26,1,4814,2026-09-02T07:15:02.862619+00:00,search_count_invariants_ok
85,76474200,apache/hudi,traditional,model_infra,2025,2025-01-01,2025-08-31,140,89,51,1114,1080,749,331,34,59,73,1,4814,2026-09-02T07:15:02.862619+00:00,search_count_invariants_ok
85,76474200,apache/hudi,traditional,model_infra,2026,2026-01-01,2026-08-31,656,1767,-1111,1355,1182,1012,170,173,317,221,1,4814,2026-09-02T07:15:02.862619+00:00,search_count_invariants_ok
86,614765452,Significant-Gravitas/AutoGPT,llm_native,agent_application,2024,2024-01-01,2024-08-31,465,446,19,763,1114,382,732,-351,12,0,1,4813,2026-09-02T07:15:04.736610+00:00,search_count_invariants_ok
86,614765452,Significant-Gravitas/AutoGPT,llm_native,agent_application,2025,2025-01-01,2025-08-31,369,365,4,1242,1218,803,415,24,57,0,1,4813,2026-09-02T07:15:04.736610+00:00,search_count_invariants_ok
86,614765452,Significant-Gravitas/AutoGPT,llm_native,agent_application,2026,2026-01-01,2026-08-31,311,238,73,1969,1667,1154,513,302,141,225,1,4813,2026-09-02T07:15:04.736610+00:00,search_count_invariants_ok
87,65711522,PaddlePaddle/Paddle,traditional,model_infra,2024,2024-01-01,2024-08-31,650,746,-96,6748,6745,5095,1650,3,126,21,1,4811,2026-09-02T07:15:06.753466+00:00,search_count_invariants_ok
87,65711522,PaddlePaddle/Paddle,traditional,model_infra,2025,2025-01-01,2025-08-31,427,417,10,3947,3996,3084,912,-49,118,24,1,4811,2026-09-02T07:15:06.753466+00:00,search_count_invariants_ok
87,65711522,PaddlePaddle/Paddle,traditional,model_infra,2026,2026-01-01,2026-08-31,236,231,5,2293,2252,1599,653,41,173,334,1,4811,2026-09-02T07:15:06.753466+00:00,search_count_invariants_ok
88,1108837393,code-yeongyu/oh-my-openagent,llm_native,agent_application,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4809,2026-09-02T07:15:08.637400+00:00,search_count_invariants_ok
