sample_rank,repo_name,snapshot_at,llm_native_manual,collaboration_niche,agent_proximity,archived,is_fork,default_branch,default_branch_commit,has_issues,has_discussions,has_pull_requests,pull_request_creation_policy,pull_request_creation_access,pull_endpoint_status,pull_endpoint_checks,pull_surface_observed,contributing_paths,governance_paths,issue_template_paths,pull_request_template_paths,contribution_policy_signal,contribution_policy_evidence,scan_status,error
79,comet-ml/opik,2026-08-29T10:12:43.621126+00:00,llm_native,agent_runtime_infra,supporting_infrastructure,false,false,main,c7ffd4e11997e8f37f9f7ba068d82f689e956d46,true,false,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
80,marimo-team/marimo,2026-08-29T10:12:45.722224+00:00,mixed,agent_application,direct_agent_experience,false,false,main,1269547a7294a586423001990da1ad4b449a8b36,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,GOVERNANCE.md,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,explicit_invitation,CONTRIBUTING.md: we welcome contributions,ok,
81,weaviate/weaviate,2026-08-29T10:12:47.840522+00:00,traditional,agent_runtime_infra,supporting_infrastructure,false,false,main,32e91a184ec2a3774518a54d7750dc8c70d33eb0,true,false,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,no_explicit_signal,,ok,
82,langflow-ai/langflow,2026-08-29T10:12:49.548267+00:00,llm_native,agent_framework,agent_building,false,false,main,da3d5050e83e55f885e0627245676933a867d06b,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,,no_explicit_signal,,ok,
83,esengine/DeepSeek-Reasonix,2026-08-29T10:12:51.161447+00:00,llm_native,agent_application,direct_agent_experience,false,false,main-v2,eac151f2c04bfe4b6dbec86401652c4a74b61731,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,explicit_invitation,CONTRIBUTING.md: submit a pull request,ok,
84,Arize-ai/phoenix,2026-08-29T10:12:52.671393+00:00,mixed,agent_runtime_infra,supporting_infrastructure,false,false,main,c48e50e9906fcc56c1c103ebd93ef3c95ed6b6e7,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
85,apache/hudi,2026-08-29T10:12:54.313867+00:00,traditional,model_infra,supporting_infrastructure,false,false,master,01935d148fae80c07972d9363043182942e755f5,true,true,true,ALL,anyone_can_create,200,200,yes,,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,no_explicit_signal,,ok,
86,Significant-Gravitas/AutoGPT,2026-08-29T10:12:56.369521+00:00,llm_native,agent_application,direct_agent_experience,false,false,master,32a43d005c0c42079ceba68d9a49c28e0eeaa6c7,true,false,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,no_explicit_signal,,ok,
87,PaddlePaddle/Paddle,2026-08-29T10:12:58.090984+00:00,traditional,model_infra,supporting_infrastructure,false,false,develop,bfa22478204f36ef51410708d86d8e9829449d75,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,no_explicit_signal,,ok,
88,code-yeongyu/oh-my-openagent,2026-08-29T10:13:00.092221+00:00,llm_native,agent_application,direct_agent_experience,false,false,dev,fac61bafcaa552535ceddb21889302ecbc4c1d0d,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
89,siyuan-note/siyuan,2026-08-29T10:13:01.626011+00:00,mixed,agent_application,direct_agent_experience,false,false,master,afa823b6b4e4f183511e0bc0a3be93caa94c7c97,true,false,true,ALL,anyone_can_create,200,200,yes,.github/CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,no_explicit_signal,,ok,
90,verl-project/verl,2026-08-29T10:13:03.435890+00:00,llm_native,model_infra,supporting_infrastructure,false,false,main,ea53291385ce764019a2b40733605f21d8317583,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,explicit_invitation,CONTRIBUTING.md: we welcome contributions,ok,
91,huggingface/trl,2026-08-29T10:13:05.099324+00:00,llm_native,model_infra,supporting_infrastructure,false,false,main,6630e17a42976fb1db84034e94e0cf058e8baa21,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,explicit_invitation,CONTRIBUTING.md: open a pull request,ok,
92,eosphoros-ai/DB-GPT,2026-08-29T10:13:06.762838+00:00,llm_native,agent_framework,agent_building,false,false,main,0b9c5050da41771f1e5130890602dc315c2c589b,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
93,danny-avila/LibreChat,2026-08-29T10:13:08.437439+00:00,llm_native,agent_application,direct_agent_experience,false,false,main,773127bff261886083b2fd595a3667fc4da52c15,true,true,true,ALL,anyone_can_create,200,200,yes,.github/CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,explicit_invitation,.github/CONTRIBUTING.md: submit a pull request,ok,
94,apache/gravitino,2026-08-29T10:13:09.973820+00:00,traditional,model_infra,supporting_infrastructure,false,false,main,b0717c3a4949420a1004c638338cc6b6d5e40302,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,GOVERNANCE.md,.github/ISSUE_TEMPLATE,,explicit_invitation,CONTRIBUTING.md: submit a pull request,ok,
95,charmbracelet/crush,2026-08-29T10:13:11.590963+00:00,llm_native,agent_application,direct_agent_experience,false,false,main,7944b8e52225d8805e31eacbf7ef24856b0dfb7a,true,true,true,ALL,anyone_can_create,200,200,yes,,,,,no_explicit_signal,,ok,
96,aaif-goose/goose,2026-08-29T10:13:13.076286+00:00,llm_native,agent_application,direct_agent_experience,false,false,main,8ae4e4ba02836529790f47109b8785e8b42843a7,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,GOVERNANCE.md,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,explicit_invitation,CONTRIBUTING.md: submit a pull request | CONTRIBUTING.md: open a pull request,ok,
97,open-webui/open-webui,2026-08-29T10:13:14.796240+00:00,llm_native,agent_application,direct_agent_experience,false,false,main,d3e8bf3405e848cfba377814d0aa7ba7290e414d,true,true,true,ALL,anyone_can_create,200,200,yes,,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,explicit_invitation,.github/pull_request_template.md: open a pull request,ok,
98,livekit/agents,2026-08-29T10:13:16.919346+00:00,llm_native,agent_framework,agent_building,false,false,main,cdb37ade6f8e80822e6c5ec4e6de457f2dcaf637,true,false,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,,no_explicit_signal,,ok,
99,router-for-me/CLIProxyAPI,2026-08-29T10:13:18.583217+00:00,llm_native,agent_runtime_infra,supporting_infrastructure,false,false,main,f0de1d008fe8881dcb7431cf97b147295874c2b2,true,true,true,ALL,anyone_can_create,200,200,yes,,,.github/ISSUE_TEMPLATE,,no_explicit_signal,,ok,
100,kvcache-ai/Mooncake,2026-08-29T10:13:20.652237+00:00,llm_native,model_infra,supporting_infrastructure,false,false,main,53e41174ff45f17369ed84278e43773c9f51ddb8,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
