sample_rank,repo_name,created_at,llm_native_manual,collaboration_niche,year,window_start,window_end,observable_in_window,issues_opened,issues_closed_from_cohort,issues_unresolved_from_cohort,prs_opened,prs_closed_from_cohort,prs_merged_from_cohort,prs_closed_unmerged_from_cohort,prs_unresolved_from_cohort,graphql_cost,graphql_remaining,collected_at,quality_flag
27,mastra-ai/mastra,2024-08-06,llm_native,agent_framework,2023,2023-01-01,2023-08-29,no,0,0,0,0,0,0,0,0,1,4904,2026-08-30T13:51:46.236492+00:00,search_count_invariants_ok
27,mastra-ai/mastra,2024-08-06,llm_native,agent_framework,2024,2024-01-01,2024-08-29,yes,0,0,0,220,215,211,4,5,1,4904,2026-08-30T13:51:46.236492+00:00,search_count_invariants_ok
27,mastra-ai/mastra,2024-08-06,llm_native,agent_framework,2025,2025-01-01,2025-08-29,yes,1316,1089,227,4087,3995,3356,639,92,1,4904,2026-08-30T13:51:46.236492+00:00,search_count_invariants_ok
27,mastra-ai/mastra,2024-08-06,llm_native,agent_framework,2026,2026-01-01,2026-08-29,yes,2749,2495,254,8251,7718,6178,1540,533,1,4904,2026-08-30T13:51:46.236492+00:00,search_count_invariants_ok
28,vllm-project/vllm-omni,2025-09-11,llm_native,model_infra,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4903,2026-08-30T13:51:47.954078+00:00,search_count_invariants_ok
28,vllm-project/vllm-omni,2025-09-11,llm_native,model_infra,2023,2023-01-01,2023-08-29,no,0,0,0,0,0,0,0,0,1,4903,2026-08-30T13:51:47.954078+00:00,search_count_invariants_ok
28,vllm-project/vllm-omni,2025-09-11,llm_native,model_infra,2024,2024-01-01,2024-08-29,no,0,0,0,0,0,0,0,0,1,4903,2026-08-30T13:51:47.954078+00:00,search_count_invariants_ok
28,vllm-project/vllm-omni,2025-09-11,llm_native,model_infra,2025,2025-01-01,2025-08-29,no,0,0,0,0,0,0,0,0,1,4903,2026-08-30T13:51:47.954078+00:00,search_count_invariants_ok
28,vllm-project/vllm-omni,2025-09-11,llm_native,model_infra,2026,2026-01-01,2026-08-29,yes,1979,1277,702,4219,3116,2477,639,1103,1,4903,2026-08-30T13:51:47.954078+00:00,search_count_invariants_ok
29,QwenLM/qwen-code,2025-06-26,llm_native,agent_application,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4902,2026-08-30T13:51:49.718051+00:00,search_count_invariants_ok
29,QwenLM/qwen-code,2025-06-26,llm_native,agent_application,2023,2023-01-01,2023-08-29,no,0,0,0,0,0,0,0,0,1,4902,2026-08-30T13:51:49.718051+00:00,search_count_invariants_ok
29,QwenLM/qwen-code,2025-06-26,llm_native,agent_application,2024,2024-01-01,2024-08-29,no,0,0,0,0,0,0,0,0,1,4902,2026-08-30T13:51:49.718051+00:00,search_count_invariants_ok
29,QwenLM/qwen-code,2025-06-26,llm_native,agent_application,2025,2025-01-01,2025-08-29,yes,335,114,221,136,104,74,30,32,1,4902,2026-08-30T13:51:49.718051+00:00,search_count_invariants_ok
29,QwenLM/qwen-code,2025-06-26,llm_native,agent_application,2026,2026-01-01,2026-08-29,yes,3410,2534,876,5516,5013,4313,700,503,1,4902,2026-08-30T13:51:49.718051+00:00,search_count_invariants_ok
30,langgenius/dify,2023-04-12,llm_native,agent_framework,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4901,2026-08-30T13:51:51.959952+00:00,search_count_invariants_ok
30,langgenius/dify,2023-04-12,llm_native,agent_framework,2023,2023-01-01,2023-08-29,yes,451,423,28,598,593,544,49,5,1,4901,2026-08-30T13:51:51.959952+00:00,search_count_invariants_ok
30,langgenius/dify,2023-04-12,llm_native,agent_framework,2024,2024-01-01,2024-08-29,yes,2575,2324,251,2564,2535,2226,309,29,1,4901,2026-08-30T13:51:51.959952+00:00,search_count_invariants_ok
30,langgenius/dify,2023-04-12,llm_native,agent_framework,2025,2025-01-01,2025-08-29,yes,7191,6585,606,3217,3106,2624,482,111,1,4901,2026-08-30T13:51:51.959952+00:00,search_count_invariants_ok
30,langgenius/dify,2023-04-12,llm_native,agent_framework,2026,2026-01-01,2026-08-29,yes,3151,2840,311,7072,5987,4768,1219,1085,1,4901,2026-08-30T13:51:51.959952+00:00,search_count_invariants_ok
31,warpdotdev/warp,2021-07-08,mixed,agent_application,2022,2022-01-01,2022-08-29,yes,1168,634,534,15,15,14,1,0,1,4900,2026-08-30T13:51:53.725665+00:00,search_count_invariants_ok
31,warpdotdev/warp,2021-07-08,mixed,agent_application,2023,2023-01-01,2023-08-29,yes,1166,527,639,5,4,3,1,1,1,4900,2026-08-30T13:51:53.725665+00:00,search_count_invariants_ok
31,warpdotdev/warp,2021-07-08,mixed,agent_application,2024,2024-01-01,2024-08-29,yes,1236,482,754,3,3,2,1,0,1,4900,2026-08-30T13:51:53.725665+00:00,search_count_invariants_ok
31,warpdotdev/warp,2021-07-08,mixed,agent_application,2025,2025-01-01,2025-08-29,yes,1581,463,1118,4,4,3,1,0,1,4900,2026-08-30T13:51:53.725665+00:00,search_count_invariants_ok
31,warpdotdev/warp,2021-07-08,mixed,agent_application,2026,2026-01-01,2026-08-29,yes,2655,1341,1314,4617,3017,2268,749,1600,1,4900,2026-08-30T13:51:53.725665+00:00,search_count_invariants_ok
32,paperclipai/paperclip,2026-03-02,llm_native,agent_framework,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4899,2026-08-30T13:51:56.094276+00:00,search_count_invariants_ok
32,paperclipai/paperclip,2026-03-02,llm_native,agent_framework,2023,2023-01-01,2023-08-29,no,0,0,0,0,0,0,0,0,1,4899,2026-08-30T13:51:56.094276+00:00,search_count_invariants_ok
32,paperclipai/paperclip,2026-03-02,llm_native,agent_framework,2024,2024-01-01,2024-08-29,no,0,0,0,0,0,0,0,0,1,4899,2026-08-30T13:51:56.094276+00:00,search_count_invariants_ok
32,paperclipai/paperclip,2026-03-02,llm_native,agent_framework,2025,2025-01-01,2025-08-29,no,0,0,0,0,0,0,0,0,1,4899,2026-08-30T13:51:56.094276+00:00,search_count_invariants_ok
32,paperclipai/paperclip,2026-03-02,llm_native,agent_framework,2026,2026-01-01,2026-08-29,yes,3003,805,2198,9296,5402,2022,3380,3894,1,4899,2026-08-30T13:51:56.094276+00:00,search_count_invariants_ok
33,vllm-project/vllm-ascend,2025-01-29,llm_native,model_infra,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4898,2026-08-30T13:51:58.199732+00:00,search_count_invariants_ok
33,vllm-project/vllm-ascend,2025-01-29,llm_native,model_infra,2023,2023-01-01,2023-08-29,no,0,0,0,0,0,0,0,0,1,4898,2026-08-30T13:51:58.199732+00:00,search_count_invariants_ok
33,vllm-project/vllm-ascend,2025-01-29,llm_native,model_infra,2024,2024-01-01,2024-08-29,no,0,0,0,0,0,0,0,0,1,4898,2026-08-30T13:51:58.199732+00:00,search_count_invariants_ok
33,vllm-project/vllm-ascend,2025-01-29,llm_native,model_infra,2025,2025-01-01,2025-08-29,yes,796,431,365,1841,1696,1098,598,145,1,4898,2026-08-30T13:51:58.199732+00:00,search_count_invariants_ok
33,vllm-project/vllm-ascend,2025-01-29,llm_native,model_infra,2026,2026-01-01,2026-08-29,yes,2424,1201,1223,7339,5451,3876,1575,1888,1,4898,2026-08-30T13:51:58.199732+00:00,search_count_invariants_ok
34,open-metadata/OpenMetadata,2021-08-01,mixed,model_infra,2022,2022-01-01,2022-08-29,yes,2491,2059,432,2501,2454,2267,187,47,1,4897,2026-08-30T13:52:00.034895+00:00,search_count_invariants_ok
34,open-metadata/OpenMetadata,2021-08-01,mixed,model_infra,2023,2023-01-01,2023-08-29,yes,1177,808,369,2248,2190,2053,137,58,1,4897,2026-08-30T13:52:00.034895+00:00,search_count_invariants_ok
34,open-metadata/OpenMetadata,2021-08-01,mixed,model_infra,2024,2024-01-01,2024-08-29,yes,837,546,291,2204,2150,2037,113,54,1,4897,2026-08-30T13:52:00.034895+00:00,search_count_invariants_ok
34,open-metadata/OpenMetadata,2021-08-01,mixed,model_infra,2025,2025-01-01,2025-08-29,yes,1139,660,479,2769,2642,2474,168,127,1,4897,2026-08-30T13:52:00.034895+00:00,search_count_invariants_ok
34,open-metadata/OpenMetadata,2021-08-01,mixed,model_infra,2026,2026-01-01,2026-08-29,yes,1813,1323,490,5335,4816,4064,752,519,1,4897,2026-08-30T13:52:00.034895+00:00,search_count_invariants_ok
35,microsoft/onnxruntime,2018-11-10,traditional,model_infra,2022,2022-01-01,2022-08-29,yes,926,438,488,1580,1391,1193,198,189,1,4896,2026-08-30T13:52:01.897636+00:00,search_count_invariants_ok
35,microsoft/onnxruntime,2018-11-10,traditional,model_infra,2023,2023-01-01,2023-08-29,yes,961,416,545,2121,1936,1695,241,185,1,4896,2026-08-30T13:52:01.897636+00:00,search_count_invariants_ok
35,microsoft/onnxruntime,2018-11-10,traditional,model_infra,2024,2024-01-01,2024-08-29,yes,975,412,563,1834,1624,1443,181,210,1,4896,2026-08-30T13:52:01.897636+00:00,search_count_invariants_ok
35,microsoft/onnxruntime,2018-11-10,traditional,model_infra,2025,2025-01-01,2025-08-29,yes,745,467,278,1815,1646,1368,278,169,1,4896,2026-08-30T13:52:01.897636+00:00,search_count_invariants_ok
35,microsoft/onnxruntime,2018-11-10,traditional,model_infra,2026,2026-01-01,2026-08-29,yes,645,464,181,2422,1809,1527,282,613,1,4896,2026-08-30T13:52:01.897636+00:00,search_count_invariants_ok
36,CherryHQ/cherry-studio,2024-05-24,llm_native,agent_application,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4895,2026-08-30T13:52:03.944544+00:00,search_count_invariants_ok
36,CherryHQ/cherry-studio,2024-05-24,llm_native,agent_application,2023,2023-01-01,2023-08-29,no,0,0,0,0,0,0,0,0,1,4895,2026-08-30T13:52:03.944544+00:00,search_count_invariants_ok
36,CherryHQ/cherry-studio,2024-05-24,llm_native,agent_application,2024,2024-01-01,2024-08-29,yes,34,28,6,0,0,0,0,0,1,4895,2026-08-30T13:52:03.944544+00:00,search_count_invariants_ok
36,CherryHQ/cherry-studio,2024-05-24,llm_native,agent_application,2025,2025-01-01,2025-08-29,yes,5924,5368,556,2487,2401,1962,439,86,1,4895,2026-08-30T13:52:03.944544+00:00,search_count_invariants_ok
36,CherryHQ/cherry-studio,2024-05-24,llm_native,agent_application,2026,2026-01-01,2026-08-29,yes,3455,2523,932,3882,3180,2488,692,702,1,4895,2026-08-30T13:52:03.944544+00:00,search_count_invariants_ok
37,pingdotgg/t3code,2026-02-08,llm_native,agent_application,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4894,2026-08-30T13:52:05.909305+00:00,search_count_invariants_ok
37,pingdotgg/t3code,2026-02-08,llm_native,agent_application,2023,2023-01-01,2023-08-29,no,0,0,0,0,0,0,0,0,1,4894,2026-08-30T13:52:05.909305+00:00,search_count_invariants_ok
37,pingdotgg/t3code,2026-02-08,llm_native,agent_application,2024,2024-01-01,2024-08-29,no,0,0,0,0,0,0,0,0,1,4894,2026-08-30T13:52:05.909305+00:00,search_count_invariants_ok
37,pingdotgg/t3code,2026-02-08,llm_native,agent_application,2025,2025-01-01,2025-08-29,no,0,0,0,0,0,0,0,0,1,4894,2026-08-30T13:52:05.909305+00:00,search_count_invariants_ok
37,pingdotgg/t3code,2026-02-08,llm_native,agent_application,2026,2026-01-01,2026-08-29,yes,2425,1900,525,5742,3668,2100,1568,2074,1,4894,2026-08-30T13:52:05.909305+00:00,search_count_invariants_ok
38,milvus-io/milvus,2019-09-16,traditional,agent_runtime_infra,2022,2022-01-01,2022-08-29,yes,1491,1220,271,2336,2294,1915,379,42,1,4893,2026-08-30T13:52:07.759189+00:00,search_count_invariants_ok
38,milvus-io/milvus,2019-09-16,traditional,agent_runtime_infra,2023,2023-01-01,2023-08-29,yes,1954,1413,541,2890,2800,2346,454,90,1,4893,2026-08-30T13:52:07.759189+00:00,search_count_invariants_ok
38,milvus-io/milvus,2019-09-16,traditional,agent_runtime_infra,2024,2024-01-01,2024-08-29,yes,1860,1444,416,3767,3662,3047,615,105,1,4893,2026-08-30T13:52:07.759189+00:00,search_count_invariants_ok
38,milvus-io/milvus,2019-09-16,traditional,agent_runtime_infra,2025,2025-01-01,2025-08-29,yes,1657,1348,309,2682,2612,2269,343,70,1,4893,2026-08-30T13:52:07.759189+00:00,search_count_invariants_ok
38,milvus-io/milvus,2019-09-16,traditional,agent_runtime_infra,2026,2026-01-01,2026-08-29,yes,1925,1388,537,4198,3607,2866,741,591,1,4893,2026-08-30T13:52:07.759189+00:00,search_count_invariants_ok
39,earendil-works/pi,2025-08-09,llm_native,agent_application,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4892,2026-08-30T13:52:09.524783+00:00,search_count_invariants_ok
39,earendil-works/pi,2025-08-09,llm_native,agent_application,2023,2023-01-01,2023-08-29,no,0,0,0,0,0,0,0,0,1,4892,2026-08-30T13:52:09.524783+00:00,search_count_invariants_ok
39,earendil-works/pi,2025-08-09,llm_native,agent_application,2024,2024-01-01,2024-08-29,no,0,0,0,0,0,0,0,0,1,4892,2026-08-30T13:52:09.524783+00:00,search_count_invariants_ok
39,earendil-works/pi,2025-08-09,llm_native,agent_application,2025,2025-01-01,2025-08-29,yes,0,0,0,0,0,0,0,0,1,4892,2026-08-30T13:52:09.524783+00:00,search_count_invariants_ok
39,earendil-works/pi,2025-08-09,llm_native,agent_application,2026,2026-01-01,2026-08-29,yes,5345,5273,72,2794,2615,843,1772,179,1,4892,2026-08-30T13:52:09.524783+00:00,search_count_invariants_ok
40,NVIDIA/cudf,2017-05-07,traditional,model_infra,2022,2022-01-01,2022-08-29,yes,555,315,240,1105,1032,966,66,73,1,4891,2026-08-30T13:52:11.611951+00:00,search_count_invariants_ok
40,NVIDIA/cudf,2017-05-07,traditional,model_infra,2023,2023-01-01,2023-08-29,yes,531,269,262,1010,944,873,71,66,1,4891,2026-08-30T13:52:11.611951+00:00,search_count_invariants_ok
40,NVIDIA/cudf,2017-05-07,traditional,model_infra,2024,2024-01-01,2024-08-29,yes,518,298,220,1487,1401,1276,125,86,1,4891,2026-08-30T13:52:11.611951+00:00,search_count_invariants_ok
40,NVIDIA/cudf,2017-05-07,traditional,model_infra,2025,2025-01-01,2025-08-29,yes,531,289,242,1660,1580,1423,157,80,1,4891,2026-08-30T13:52:11.611951+00:00,search_count_invariants_ok
40,NVIDIA/cudf,2017-05-07,traditional,model_infra,2026,2026-01-01,2026-08-29,yes,544,270,274,2377,2212,1996,216,165,1,4891,2026-08-30T13:52:11.611951+00:00,search_count_invariants_ok
41,triton-lang/triton,2014-08-30,traditional,model_infra,2022,2022-01-01,2022-08-29,yes,84,45,39,130,123,114,9,7,1,4890,2026-08-30T13:52:13.731336+00:00,search_count_invariants_ok
41,triton-lang/triton,2014-08-30,traditional,model_infra,2023,2023-01-01,2023-08-29,yes,404,171,233,723,694,610,84,29,1,4890,2026-08-30T13:52:13.731336+00:00,search_count_invariants_ok
41,triton-lang/triton,2014-08-30,traditional,model_infra,2024,2024-01-01,2024-08-29,yes,413,173,240,1306,1265,1087,178,41,1,4890,2026-08-30T13:52:13.731336+00:00,search_count_invariants_ok
41,triton-lang/triton,2014-08-30,traditional,model_infra,2025,2025-01-01,2025-08-29,yes,312,175,137,2156,2057,1759,298,99,1,4890,2026-08-30T13:52:13.731336+00:00,search_count_invariants_ok
41,triton-lang/triton,2014-08-30,traditional,model_infra,2026,2026-01-01,2026-08-29,yes,252,159,93,2113,1748,1435,313,365,1,4890,2026-08-30T13:52:13.731336+00:00,search_count_invariants_ok
42,zeroclaw-labs/zeroclaw,2026-02-13,llm_native,agent_application,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4889,2026-08-30T13:52:15.640000+00:00,search_count_invariants_ok
42,zeroclaw-labs/zeroclaw,2026-02-13,llm_native,agent_application,2023,2023-01-01,2023-08-29,no,0,0,0,0,0,0,0,0,1,4889,2026-08-30T13:52:15.640000+00:00,search_count_invariants_ok
42,zeroclaw-labs/zeroclaw,2026-02-13,llm_native,agent_application,2024,2024-01-01,2024-08-29,no,0,0,0,0,0,0,0,0,1,4889,2026-08-30T13:52:15.640000+00:00,search_count_invariants_ok
42,zeroclaw-labs/zeroclaw,2026-02-13,llm_native,agent_application,2025,2025-01-01,2025-08-29,no,0,0,0,0,0,0,0,0,1,4889,2026-08-30T13:52:15.640000+00:00,search_count_invariants_ok
42,zeroclaw-labs/zeroclaw,2026-02-13,llm_native,agent_application,2026,2026-01-01,2026-08-29,yes,2887,2385,502,6849,6446,4282,2164,403,1,4889,2026-08-30T13:52:15.640000+00:00,search_count_invariants_ok
43,docling-project/docling,2024-07-09,mixed,model_infra,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4888,2026-08-30T13:52:17.598348+00:00,search_count_invariants_ok
43,docling-project/docling,2024-07-09,mixed,model_infra,2023,2023-01-01,2023-08-29,no,0,0,0,0,0,0,0,0,1,4888,2026-08-30T13:52:17.598348+00:00,search_count_invariants_ok
43,docling-project/docling,2024-07-09,mixed,model_infra,2024,2024-01-01,2024-08-29,yes,7,2,5,47,45,45,0,2,1,4888,2026-08-30T13:52:17.598348+00:00,search_count_invariants_ok
43,docling-project/docling,2024-07-09,mixed,model_infra,2025,2025-01-01,2025-08-29,yes,850,385,465,401,383,303,80,18,1,4888,2026-08-30T13:52:17.598348+00:00,search_count_invariants_ok
43,docling-project/docling,2024-07-09,mixed,model_infra,2026,2026-01-01,2026-08-29,yes,483,254,229,738,626,501,125,112,1,4888,2026-08-30T13:52:17.598348+00:00,search_count_invariants_ok
44,datahub-project/datahub,2015-11-18,mixed,model_infra,2022,2022-01-01,2022-08-29,yes,372,246,126,1575,1525,1367,158,50,1,4887,2026-08-30T13:52:19.529364+00:00,search_count_invariants_ok
44,datahub-project/datahub,2015-11-18,mixed,model_infra,2023,2023-01-01,2023-08-29,yes,280,219,61,1544,1447,1271,176,97,1,4887,2026-08-30T13:52:19.529364+00:00,search_count_invariants_ok
44,datahub-project/datahub,2015-11-18,mixed,model_infra,2024,2024-01-01,2024-08-29,yes,270,162,108,1449,1361,1199,162,88,1,4887,2026-08-30T13:52:19.529364+00:00,search_count_invariants_ok
44,datahub-project/datahub,2015-11-18,mixed,model_infra,2025,2025-01-01,2025-08-29,yes,213,64,149,2133,1977,1727,250,156,1,4887,2026-08-30T13:52:19.529364+00:00,search_count_invariants_ok
44,datahub-project/datahub,2015-11-18,mixed,model_infra,2026,2026-01-01,2026-08-29,yes,286,96,190,3425,2772,2449,323,653,1,4887,2026-08-30T13:52:19.529364+00:00,search_count_invariants_ok
45,lobehub/lobehub,2023-05-21,llm_native,agent_application,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4886,2026-08-30T13:52:21.420727+00:00,search_count_invariants_ok
45,lobehub/lobehub,2023-05-21,llm_native,agent_application,2023,2023-01-01,2023-08-29,yes,64,52,12,59,59,48,11,0,1,4886,2026-08-30T13:52:21.420727+00:00,search_count_invariants_ok
45,lobehub/lobehub,2023-05-21,llm_native,agent_application,2024,2024-01-01,2024-08-29,yes,1426,1128,298,949,899,732,167,50,1,4886,2026-08-30T13:52:21.420727+00:00,search_count_invariants_ok
45,lobehub/lobehub,2023-05-21,llm_native,agent_application,2025,2025-01-01,2025-08-29,yes,1782,1178,604,1426,1350,1042,308,76,1,4886,2026-08-30T13:52:21.420727+00:00,search_count_invariants_ok
45,lobehub/lobehub,2023-05-21,llm_native,agent_application,2026,2026-01-01,2026-08-29,yes,1468,1143,325,6004,5360,4529,831,644,1,4886,2026-08-30T13:52:21.420727+00:00,search_count_invariants_ok
46,AstrBotDevs/AstrBot,2022-12-08,llm_native,agent_application,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4885,2026-08-30T13:52:23.343983+00:00,search_count_invariants_ok
46,AstrBotDevs/AstrBot,2022-12-08,llm_native,agent_application,2023,2023-01-01,2023-08-29,yes,85,74,11,27,27,25,2,0,1,4885,2026-08-30T13:52:23.343983+00:00,search_count_invariants_ok
46,AstrBotDevs/AstrBot,2022-12-08,llm_native,agent_application,2024,2024-01-01,2024-08-29,yes,33,22,11,11,10,9,1,1,1,4885,2026-08-30T13:52:23.343983+00:00,search_count_invariants_ok
46,AstrBotDevs/AstrBot,2022-12-08,llm_native,agent_application,2025,2025-01-01,2025-08-29,yes,1905,1592,313,416,386,302,84,30,1,4885,2026-08-30T13:52:23.343983+00:00,search_count_invariants_ok
46,AstrBotDevs/AstrBot,2022-12-08,llm_native,agent_application,2026,2026-01-01,2026-08-29,yes,3374,2388,986,2023,1580,1132,448,443,1,4885,2026-08-30T13:52:23.343983+00:00,search_count_invariants_ok
47,HKUDS/nanobot,2026-02-01,llm_native,agent_application,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4884,2026-08-30T13:52:25.561512+00:00,search_count_invariants_ok
47,HKUDS/nanobot,2026-02-01,llm_native,agent_application,2023,2023-01-01,2023-08-29,no,0,0,0,0,0,0,0,0,1,4884,2026-08-30T13:52:25.561512+00:00,search_count_invariants_ok
47,HKUDS/nanobot,2026-02-01,llm_native,agent_application,2024,2024-01-01,2024-08-29,no,0,0,0,0,0,0,0,0,1,4884,2026-08-30T13:52:25.561512+00:00,search_count_invariants_ok
47,HKUDS/nanobot,2026-02-01,llm_native,agent_application,2025,2025-01-01,2025-08-29,no,0,0,0,0,0,0,0,0,1,4884,2026-08-30T13:52:25.561512+00:00,search_count_invariants_ok
47,HKUDS/nanobot,2026-02-01,llm_native,agent_application,2026,2026-01-01,2026-08-29,yes,1477,1264,213,3786,3043,1593,1450,743,1,4884,2026-08-30T13:52:25.561512+00:00,search_count_invariants_ok
48,NVIDIA/Model-Optimizer,2024-04-23,mixed,model_infra,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4883,2026-08-30T13:52:27.417106+00:00,search_count_invariants_ok
48,NVIDIA/Model-Optimizer,2024-04-23,mixed,model_infra,2023,2023-01-01,2023-08-29,no,0,0,0,0,0,0,0,0,1,4883,2026-08-30T13:52:27.417106+00:00,search_count_invariants_ok
48,NVIDIA/Model-Optimizer,2024-04-23,mixed,model_infra,2024,2024-01-01,2024-08-29,yes,61,34,27,2,2,0,2,0,1,4883,2026-08-30T13:52:27.417106+00:00,search_count_invariants_ok
48,NVIDIA/Model-Optimizer,2024-04-23,mixed,model_infra,2025,2025-01-01,2025-08-29,yes,109,44,65,50,43,17,26,7,1,4883,2026-08-30T13:52:27.417106+00:00,search_count_invariants_ok
48,NVIDIA/Model-Optimizer,2024-04-23,mixed,model_infra,2026,2026-01-01,2026-08-29,yes,138,68,70,1400,1119,886,233,281,1,4883,2026-08-30T13:52:27.417106+00:00,search_count_invariants_ok
49,cline/cline,2024-07-06,llm_native,agent_application,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4882,2026-08-30T13:52:29.883684+00:00,search_count_invariants_ok
49,cline/cline,2024-07-06,llm_native,agent_application,2023,2023-01-01,2023-08-29,no,0,0,0,0,0,0,0,0,1,4882,2026-08-30T13:52:29.883684+00:00,search_count_invariants_ok
49,cline/cline,2024-07-06,llm_native,agent_application,2024,2024-01-01,2024-08-29,yes,173,95,78,20,14,1,13,6,1,4882,2026-08-30T13:52:29.883684+00:00,search_count_invariants_ok
49,cline/cline,2024-07-06,llm_native,agent_application,2025,2025-01-01,2025-08-29,yes,1642,1194,448,2370,2289,1702,587,81,1,4882,2026-08-30T13:52:29.883684+00:00,search_count_invariants_ok
49,cline/cline,2024-07-06,llm_native,agent_application,2026,2026-01-01,2026-08-29,yes,1376,717,659,3508,2633,1817,816,875,1,4882,2026-08-30T13:52:29.883684+00:00,search_count_invariants_ok
50,OpenHands/software-agent-sdk,2025-08-23,llm_native,agent_framework,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4881,2026-08-30T13:52:32.336170+00:00,search_count_invariants_ok
50,OpenHands/software-agent-sdk,2025-08-23,llm_native,agent_framework,2023,2023-01-01,2023-08-29,no,0,0,0,0,0,0,0,0,1,4881,2026-08-30T13:52:32.336170+00:00,search_count_invariants_ok
50,OpenHands/software-agent-sdk,2025-08-23,llm_native,agent_framework,2024,2024-01-01,2024-08-29,no,0,0,0,0,0,0,0,0,1,4881,2026-08-30T13:52:32.336170+00:00,search_count_invariants_ok
50,OpenHands/software-agent-sdk,2025-08-23,llm_native,agent_framework,2025,2025-01-01,2025-08-29,yes,30,8,22,33,31,29,2,2,1,4881,2026-08-30T13:52:32.336170+00:00,search_count_invariants_ok
50,OpenHands/software-agent-sdk,2025-08-23,llm_native,agent_framework,2026,2026-01-01,2026-08-29,yes,1019,841,178,2103,1831,1456,375,272,1,4881,2026-08-30T13:52:32.336170+00:00,search_count_invariants_ok
51,agentscope-ai/QwenPaw,2026-02-24,llm_native,agent_application,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4873,2026-08-30T13:52:34.287283+00:00,search_count_invariants_ok
51,agentscope-ai/QwenPaw,2026-02-24,llm_native,agent_application,2023,2023-01-01,2023-08-29,no,0,0,0,0,0,0,0,0,1,4873,2026-08-30T13:52:34.287283+00:00,search_count_invariants_ok
51,agentscope-ai/QwenPaw,2026-02-24,llm_native,agent_application,2024,2024-01-01,2024-08-29,no,0,0,0,0,0,0,0,0,1,4873,2026-08-30T13:52:34.287283+00:00,search_count_invariants_ok
51,agentscope-ai/QwenPaw,2026-02-24,llm_native,agent_application,2025,2025-01-01,2025-08-29,no,0,0,0,0,0,0,0,0,1,4873,2026-08-30T13:52:34.287283+00:00,search_count_invariants_ok
51,agentscope-ai/QwenPaw,2026-02-24,llm_native,agent_application,2026,2026-01-01,2026-08-29,yes,3641,3049,592,3556,3101,2330,771,455,1,4873,2026-08-30T13:52:34.287283+00:00,search_count_invariants_ok
52,NVIDIA-NeMo/RL,2025-03-16,llm_native,model_infra,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4870,2026-08-30T13:52:36.508100+00:00,search_count_invariants_ok
52,NVIDIA-NeMo/RL,2025-03-16,llm_native,model_infra,2023,2023-01-01,2023-08-29,no,0,0,0,0,0,0,0,0,1,4870,2026-08-30T13:52:36.508100+00:00,search_count_invariants_ok
52,NVIDIA-NeMo/RL,2025-03-16,llm_native,model_infra,2024,2024-01-01,2024-08-29,no,0,0,0,0,0,0,0,0,1,4870,2026-08-30T13:52:36.508100+00:00,search_count_invariants_ok
52,NVIDIA-NeMo/RL,2025-03-16,llm_native,model_infra,2025,2025-01-01,2025-08-29,yes,390,204,186,628,567,467,100,61,1,4870,2026-08-30T13:52:36.508100+00:00,search_count_invariants_ok
52,NVIDIA-NeMo/RL,2025-03-16,llm_native,model_infra,2026,2026-01-01,2026-08-29,yes,412,140,272,1782,1201,932,269,581,1,4870,2026-08-30T13:52:36.508100+00:00,search_count_invariants_ok
53,pydantic/pydantic-ai,2024-06-21,llm_native,agent_framework,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4869,2026-08-30T13:52:38.285900+00:00,search_count_invariants_ok
53,pydantic/pydantic-ai,2024-06-21,llm_native,agent_framework,2023,2023-01-01,2023-08-29,no,0,0,0,0,0,0,0,0,1,4869,2026-08-30T13:52:38.285900+00:00,search_count_invariants_ok
53,pydantic/pydantic-ai,2024-06-21,llm_native,agent_framework,2024,2024-01-01,2024-08-29,yes,0,0,0,0,0,0,0,0,1,4869,2026-08-30T13:52:38.285900+00:00,search_count_invariants_ok
